"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","-0,617","-0,628","-0,600","-0,653","-6,52%"
"24.03.2022","-0,660","-0,667","-0,619","-0,681","-0,90%"
"23.03.2022","-0,666","-0,644","-0,637","-0,681","3,90%"
"22.03.2022","-0,641","-0,649","-0,595","-0,665","-0,93%"
"21.03.2022","-0,647","-0,647","-0,629","-0,672","-2,85%"
"18.03.2022","-0,666","-0,649","-0,629","-0,676","-0,75%"
"17.03.2022","-0,671","-0,655","-0,590","-0,677","-0,74%"
"16.03.2022","-0,676","-0,670","-0,620","-0,700","2,42%"
"15.03.2022","-0,660","-0,671","-0,602","-0,683","2,33%"
"14.03.2022","-0,645","-0,641","-0,597","-0,668","5,56%"
"11.03.2022","-0,611","-0,625","-0,543","-0,657","-2,86%"
"10.03.2022","-0,629","-0,569","-0,490","-0,655","7,89%"
"09.03.2022","-0,583","-0,580","-0,543","-0,649","2,28%"
"08.03.2022","-0,570","-0,566","-0,516","-0,630","0,00%"
"07.03.2022","-0,570","-0,590","-0,555","-0,623","-10,52%"
"04.03.2022","-0,637","-0,621","-0,559","-0,659","3,92%"
"03.03.2022","-0,613","-0,620","-0,569","-0,620","-0,16%"
"02.03.2022","-0,614","-0,631","-0,533","-0,638","-7,67%"
"01.03.2022","-0,665","-0,603","-0,562","-0,687","8,13%"
"28.02.2022","-0,615","-0,590","-0,558","-0,625","-7,38%"
"25.02.2022","-0,664","-0,661","-0,551","-0,669","11,04%"
"24.02.2022","-0,598","-0,571","-0,558","-0,631","3,64%"
"23.02.2022","-0,577","-0,574","-0,564","-0,588","-5,72%"
"22.02.2022","-0,612","-0,630","-0,525","-0,633","0,16%"
"21.02.2022","-0,611","-0,616","-0,573","-0,634","-3,32%"
"18.02.2022","-0,632","-0,604","-0,532","-0,647","3,27%"
"17.02.2022","-0,612","-0,570","-0,551","-0,620","7,75%"
"16.02.2022","-0,568","-0,566","-0,543","-0,592","-2,57%"
"15.02.2022","-0,583","-0,578","-0,560","-0,600","4,67%"
"14.02.2022","-0,557","-0,564","-0,536","-0,582","0,54%"
