"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","-0,407","-0,375","-0,283","-0,451","-4,24%"
"24.03.2022","-0,425","-0,423","-0,371","-0,460","-1,39%"
"23.03.2022","-0,431","-0,417","-0,362","-0,457","0,47%"
"22.03.2022","-0,429","-0,414","-0,384","-0,451","0,00%"
"21.03.2022","-0,429","-0,416","-0,296","-0,449","-4,03%"
"18.03.2022","-0,447","-0,423","-0,361","-0,473","9,29%"
"17.03.2022","-0,409","-0,412","-0,368","-0,454","17,19%"
"16.03.2022","-0,349","-0,415","-0,348","-0,449","-12,97%"
"15.03.2022","-0,401","-0,384","-0,313","-0,441","1,52%"
"14.03.2022","-0,395","-0,381","-0,280","-0,402","1,80%"
"11.03.2022","-0,388","-0,387","-0,349","-0,412","-1,52%"
"10.03.2022","-0,394","-0,409","-0,343","-0,447","-8,37%"
"09.03.2022","-0,430","-0,438","-0,415","-0,460","-2,93%"
"08.03.2022","-0,443","-0,421","-0,408","-0,459","0,00%"
"07.03.2022","-0,443","-0,427","-0,414","-0,466","-2,64%"
"04.03.2022","-0,455","-0,399","-0,038","-0,460","14,04%"
"03.03.2022","-0,399","-0,422","-0,354","-0,458","-7,64%"
"02.03.2022","-0,432","-0,489","-0,400","-0,502","-11,48%"
"01.03.2022","-0,488","-0,481","-0,442","-0,517","-20,65%"
"28.02.2022","-0,615","-0,613","-0,518","-0,650","-4,06%"
"25.02.2022","-0,641","-0,551","-0,505","-0,675","14,87%"
"24.02.2022","-0,558","-0,502","-0,492","-0,595","4,69%"
"23.02.2022","-0,533","-0,483","-0,481","-0,554","-4,14%"
"22.02.2022","-0,556","-0,570","-0,502","-0,573","-4,63%"
"21.02.2022","-0,583","-0,579","-0,547","-0,601","-1,02%"
"18.02.2022","-0,589","-0,534","-0,525","-0,610","5,56%"
"17.02.2022","-0,558","-0,544","-0,543","-0,616","2,95%"
"16.02.2022","-0,542","-0,526","-0,480","-0,563","2,65%"
"15.02.2022","-0,528","-0,490","-0,488","-0,537","0,38%"
"14.02.2022","-0,526","-0,466","-0,465","-0,538","1,54%"
"11.02.2022","-0,518","-0,463","-0,462","-0,534","2,37%"
"10.02.2022","-0,506","-0,477","-0,441","-0,510","4,55%"
"09.02.2022","-0,484","-0,442","-0,380","-0,494","9,01%"
"08.02.2022","-0,444","-0,392","-0,392","-0,455","9,36%"
"07.02.2022","-0,406","-0,401","-0,348","-0,427","0,74%"
"04.02.2022","-0,403","-0,400","-0,331","-0,425","-4,73%"
"03.02.2022","-0,423","-0,486","-0,390","-0,506","-19,89%"
"02.02.2022","-0,528","-0,491","-0,491","-0,542","0,57%"
"01.02.2022","-0,525","-0,496","-0,487","-0,542","0,00%"
"31.01.2022","-0,525","-0,501","-0,476","-0,529","4,17%"
"28.01.2022","-0,504","-0,483","-0,479","-0,521","2,65%"
"27.01.2022","-0,491","-0,466","-0,456","-0,516","-3,54%"
"26.01.2022","-0,509","-0,507","-0,499","-0,524","-3,78%"
"25.01.2022","-0,529","-0,543","-0,500","-0,545","-2,58%"
"24.01.2022","-0,543","-0,490","-0,490","-0,544","0,56%"
"21.01.2022","-0,540","-0,515","-0,499","-0,545","2,08%"
"20.01.2022","-0,529","-0,491","-0,490","-0,534","2,52%"
"19.01.2022","-0,516","-0,486","-0,470","-0,524","3,41%"
"18.01.2022","-0,499","-0,512","-0,470","-0,517","-0,20%"
"17.01.2022","-0,500","-0,450","-0,450","-0,523","-3,10%"
"14.01.2022","-0,516","-0,528","-0,516","-0,530","-2,27%"
"13.01.2022","-0,528","-0,518","-0,517","-0,531","-0,19%"
"12.01.2022","-0,529","-0,519","-0,502","-0,535","0,95%"
"11.01.2022","-0,524","-0,537","-0,519","-0,550","-3,50%"
"10.01.2022","-0,543","-0,539","-0,534","-0,545","-1,63%"
"07.01.2022","-0,552","-0,542","-0,539","-0,559","1,28%"
"06.01.2022","-0,545","-0,550","-0,536","-0,550","1,68%"
"05.01.2022","-0,536","-0,593","-0,526","-0,605","-7,75%"
"04.01.2022","-0,581","-0,580","-0,570","-0,616","3,57%"
"03.01.2022","-0,561","-0,589","-0,531","-0,589","-9,52%"
"31.12.2021","-0,620","-0,620","-0,620","-0,620","-0,16%"
"30.12.2021","-0,621","-0,674","-0,565","-0,674","-7,17%"
"29.12.2021","-0,669","-0,572","-0,572","-0,669","20,32%"
"28.12.2021","-0,556","-0,535","-0,520","-0,586","6,11%"
"27.12.2021","-0,524","-0,542","-0,519","-0,542","1,16%"
"24.12.2021","-0,518","-0,517","-0,517","-0,517","0,19%"
"23.12.2021","-0,517","-0,519","-0,497","-0,541","-10,55%"
"22.12.2021","-0,578","-0,567","-0,559","-0,581","3,03%"
"21.12.2021","-0,561","-0,566","-0,560","-0,582","-3,28%"
"20.12.2021","-0,580","-0,585","-0,564","-0,602","-2,03%"
"17.12.2021","-0,592","-0,563","-0,516","-0,624","12,98%"
"16.12.2021","-0,524","-0,559","-0,509","-0,559","-1,50%"
"15.12.2021","-0,532","-0,562","-0,531","-0,566","-5,34%"
"14.12.2021","-0,562","-0,574","-0,550","-0,577","0,18%"
"13.12.2021","-0,561","-0,544","-0,530","-0,564","7,68%"
"10.12.2021","-0,521","-0,533","-0,465","-0,545","-0,95%"
"09.12.2021","-0,526","-0,529","-0,513","-0,537","-1,87%"
"08.12.2021","-0,536","-0,544","-0,528","-0,548","-0,37%"
"07.12.2021","-0,538","-0,555","-0,505","-0,556","-0,92%"
"06.12.2021","-0,543","-0,540","-0,535","-0,615","-8,89%"
"03.12.2021","-0,596","-0,578","-0,578","-0,605","2,23%"
"02.12.2021","-0,583","-0,555","-0,552","-0,593","7,37%"
"01.12.2021","-0,543","-0,552","-0,528","-0,602","-1,99%"
"30.11.2021","-0,554","-0,549","-0,529","-0,634","1,09%"
"29.11.2021","-0,548","-0,550","-0,544","-0,570","-0,36%"
"26.11.2021","-0,550","-0,545","-0,544","-0,575","-1,43%"
"25.11.2021","-0,558","-0,545","-0,537","-0,561","0,00%"
"24.11.2021","-0,558","-0,550","-0,537","-0,561","1,82%"
"23.11.2021","-0,548","-0,597","-0,546","-0,616","-10,75%"
"22.11.2021","-0,614","-0,629","-0,609","-0,629","-1,44%"
"19.11.2021","-0,623","-0,606","-0,601","-0,653","2,64%"
"18.11.2021","-0,607","-0,604","-0,602","-0,627","1,00%"
"17.11.2021","-0,601","-0,598","-0,595","-0,620","0,50%"
"16.11.2021","-0,598","-0,587","-0,583","-0,626","1,36%"
"15.11.2021","-0,590","-0,556","-0,553","-0,606","6,50%"
"12.11.2021","-0,554","-0,552","-0,544","-0,573","0,00%"
"11.11.2021","-0,554","-0,547","-0,542","-0,567","0,18%"
"10.11.2021","-0,553","-0,550","-0,540","-0,598","-4,66%"
"09.11.2021","-0,580","-0,548","-0,546","-0,596","7,41%"
"08.11.2021","-0,540","-0,543","-0,516","-0,570","-3,40%"
"05.11.2021","-0,559","-0,546","-0,507","-0,560","3,90%"
"04.11.2021","-0,538","-0,502","-0,492","-0,568","8,47%"
"03.11.2021","-0,496","-0,492","-0,485","-0,520","1,22%"
"02.11.2021","-0,490","-0,438","-0,438","-0,563","6,52%"
"01.11.2021","-0,460","-0,420","-0,418","-0,480","8,49%"
"29.10.2021","-0,424","-0,429","-0,401","-0,481","-9,79%"
"28.10.2021","-0,470","-0,491","-0,453","-0,522","-10,98%"
"27.10.2021","-0,528","-0,474","-0,471","-0,541","5,18%"
"26.10.2021","-0,502","-0,496","-0,489","-0,504","7,04%"
"25.10.2021","-0,469","-0,462","-0,458","-0,502","3,08%"
"22.10.2021","-0,455","-0,456","-0,453","-0,479","-5,21%"
"21.10.2021","-0,480","-0,470","-0,469","-0,484","4,58%"
