"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","1,902","1,881","1,916","1,834","1,17%"
"24.03.2022","1,880","1,821","1,898","1,802","2,96%"
"23.03.2022","1,826","1,850","1,851","1,798","-1,88%"
"22.03.2022","1,861","1,855","1,895","1,847","3,50%"
"21.03.2022","1,798","1,752","1,819","1,745","4,96%"
"18.03.2022","1,713","1,732","1,753","1,697","-1,38%"
"17.03.2022","1,737","1,724","1,757","1,684","0,40%"
"16.03.2022","1,730","1,769","1,787","1,704","-0,17%"
"15.03.2022","1,733","1,774","1,788","1,712","-3,35%"
"14.03.2022","1,793","1,719","1,801","1,716","5,53%"
"11.03.2022","1,699","1,734","1,748","1,691","-2,41%"
"10.03.2022","1,741","1,490","1,744","1,428","17,71%"
"09.03.2022","1,479","1,414","1,505","1,373","4,67%"
"08.03.2022","1,413","1,406","1,435","1,348","0,00%"
"07.03.2022","1,413","1,378","1,427","1,354","6,00%"
"04.03.2022","1,333","1,391","1,410","1,327","-4,65%"
"03.03.2022","1,398","1,356","1,466","1,356","4,02%"
"02.03.2022","1,344","1,274","1,391","1,270","9,62%"
"01.03.2022","1,226","1,514","1,514","1,188","-22,26%"
"28.02.2022","1,577","1,648","1,676","1,561","-5,74%"
"25.02.2022","1,673","1,696","1,696","1,605","1,89%"
"24.02.2022","1,642","1,730","1,752","1,599","-7,23%"
"23.02.2022","1,770","1,780","1,788","1,741","0,40%"
"22.02.2022","1,763","1,723","1,802","1,714","0,74%"
"21.02.2022","1,750","1,702","1,756","1,689","3,55%"
"18.02.2022","1,690","1,707","1,708","1,653","0,00%"
"17.02.2022","1,690","1,753","1,776","1,685","-3,59%"
"16.02.2022","1,753","1,842","1,845","1,716","-3,68%"
"15.02.2022","1,820","1,805","1,847","1,792","0,33%"
"14.02.2022","1,814","1,751","1,823","1,735","1,34%"
"11.02.2022","1,790","1,743","1,801","1,709","1,88%"
"10.02.2022","1,757","1,615","1,758","1,613","9,81%"
"09.02.2022","1,600","1,617","1,645","1,593","-4,65%"
"08.02.2022","1,678","1,685","1,713","1,586","2,69%"
"07.02.2022","1,634","1,596","1,731","1,591","3,61%"
"04.02.2022","1,577","1,548","1,597","1,468","8,24%"
"03.02.2022","1,457","1,256","1,472","1,234","18,94%"
"02.02.2022","1,225","1,207","1,263","1,178","0,08%"
"01.02.2022","1,224","1,182","1,233","1,139","4,44%"
"31.01.2022","1,172","1,106","1,197","1,097","1,56%"
"28.01.2022","1,154","1,200","1,241","1,151","-0,77%"
"27.01.2022","1,163","1,258","1,271","1,157","-3,08%"
"26.01.2022","1,200","1,157","1,221","1,150","2,92%"
"25.01.2022","1,166","1,146","1,175","1,135","1,22%"
"24.01.2022","1,152","1,151","1,163","1,106","-0,56%"
"22.01.2022","1,158","1,158","1,158","1,158","-0,30%"
"21.01.2022","1,162","1,164","1,174","1,142","-1,19%"
"20.01.2022","1,176","1,217","1,217","1,165","-3,29%"
"19.01.2022","1,216","1,249","1,257","1,192","1,76%"
"18.01.2022","1,195","1,184","1,212","1,169","2,05%"
"17.01.2022","1,171","1,160","1,173","1,144","2,81%"
"14.01.2022","1,139","1,090","1,149","1,087","3,92%"
"13.01.2022","1,096","1,152","1,172","1,086","-3,09%"
"12.01.2022","1,131","1,174","1,198","1,112","-4,07%"
"11.01.2022","1,179","1,180","1,201","1,144","28,71%"
"10.01.2022","0,916","0,953","0,969","0,894","-3,78%"
"07.01.2022","0,952","0,930","0,955","0,920","4,62%"
"06.01.2022","0,910","0,917","0,950","0,907","3,64%"
"05.01.2022","0,878","0,860","0,890","0,854","2,93%"
"04.01.2022","0,853","0,837","0,857","0,823","2,03%"
"03.01.2022","0,836","0,820","0,842","0,788","2,70%"
"01.01.2022","0,814","0,814","0,814","0,814","-0,61%"
"31.12.2021","0,819","0,819","0,819","0,819","0,24%"
"30.12.2021","0,817","0,796","0,823","0,759","1,87%"
"29.12.2021","0,802","0,751","0,804","0,751","7,94%"
"28.12.2021","0,743","0,773","0,803","0,742","-3,00%"
"27.12.2021","0,766","0,759","0,813","0,759","-1,79%"
"24.12.2021","0,780","0,780","0,780","0,780","5,12%"
"23.12.2021","0,742","0,710","0,777","0,708","8,64%"
"22.12.2021","0,683","0,643","0,699","0,642","5,56%"
"21.12.2021","0,647","0,588","0,652","0,586","10,79%"
"20.12.2021","0,584","0,554","0,598","0,542","4,10%"
"17.12.2021","0,561","0,605","0,615","0,557","-9,81%"
"16.12.2021","0,622","0,555","0,669","0,545","8,93%"
"15.12.2021","0,571","0,586","0,588","0,563","-2,06%"
"14.12.2021","0,583","0,560","0,593","0,539","2,64%"
"13.12.2021","0,568","0,615","0,619","0,563","-6,12%"
"10.12.2021","0,605","0,656","0,662","0,602","-7,49%"
"09.12.2021","0,654","0,658","0,668","0,639","-4,94%"
"08.12.2021","0,688","0,586","0,690","0,579","17,81%"
"07.12.2021","0,584","0,590","0,595","0,566","6,38%"
"06.12.2021","0,549","0,558","0,589","0,544","-6,79%"
"03.12.2021","0,589","0,610","0,644","0,574","-4,54%"
"02.12.2021","0,617","0,681","0,684","0,603","-9,40%"
"01.12.2021","0,681","0,633","0,712","0,633","9,84%"
"30.11.2021","0,620","0,627","0,640","0,582","-1,43%"
"29.11.2021","0,629","0,621","0,660","0,619","1,53%"
