"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","1,626","1,600","1,640","1,561","1,37%"
"24.03.2022","1,604","1,542","1,619","1,528","3,55%"
"23.03.2022","1,549","1,566","1,571","1,520","-2,15%"
"22.03.2022","1,583","1,571","1,613","1,564","4,21%"
"21.03.2022","1,519","1,474","1,539","1,471","5,34%"
"18.03.2022","1,442","1,462","1,478","1,428","-1,77%"
"17.03.2022","1,468","1,452","1,485","1,419","0,55%"
"16.03.2022","1,460","1,495","1,515","1,431","-0,21%"
"15.03.2022","1,463","1,508","1,518","1,443","-4,07%"
"14.03.2022","1,525","1,457","1,532","1,455","6,12%"
"11.03.2022","1,437","1,460","1,486","1,429","-2,31%"
"10.03.2022","1,471","1,222","1,473","1,163","21,67%"
"09.03.2022","1,209","1,155","1,237","1,113","4,49%"
"08.03.2022","1,157","1,145","1,166","1,087","0,00%"
"07.03.2022","1,157","1,120","1,170","1,106","7,73%"
"04.03.2022","1,074","1,127","1,147","1,071","-5,46%"
"03.03.2022","1,136","1,100","1,204","1,100","4,03%"
"02.03.2022","1,092","1,024","1,134","1,022","12,00%"
"01.03.2022","0,975","1,263","1,263","0,951","-26,47%"
"28.02.2022","1,326","1,395","1,426","1,313","-6,39%"
"26.02.2022","1,416","1,416","1,416","1,416","-0,46%"
"25.02.2022","1,423","1,434","1,436","1,357","2,74%"
"24.02.2022","1,385","1,476","1,501","1,351","-8,58%"
"23.02.2022","1,515","1,518","1,529","1,488","0,80%"
"22.02.2022","1,503","1,459","1,538","1,456","1,01%"
"21.02.2022","1,488","1,442","1,491","1,433","4,53%"
"20.02.2022","1,423","1,423","1,423","1,423","-0,45%"
"18.02.2022","1,430","1,454","1,454","1,404","-0,42%"
"17.02.2022","1,436","1,503","1,524","1,431","-4,46%"
"16.02.2022","1,503","1,592","1,595","1,480","-4,21%"
"15.02.2022","1,569","1,565","1,592","1,552","-0,06%"
"14.02.2022","1,570","1,518","1,578","1,500","1,09%"
"11.02.2022","1,553","1,511","1,561","1,477","2,58%"
"10.02.2022","1,514","1,387","1,514","1,382","10,43%"
"09.02.2022","1,371","1,396","1,413","1,365","-5,45%"
"08.02.2022","1,450","1,457","1,474","1,357","3,06%"
"07.02.2022","1,407","1,375","1,507","1,373","4,07%"
"04.02.2022","1,352","1,312","1,368","1,246","12,01%"
"03.02.2022","1,207","1,014","1,231","0,997","22,29%"
"02.02.2022","0,987","0,963","1,021","0,941","0,92%"
"01.02.2022","0,978","0,935","0,987","0,901","5,84%"
"31.01.2022","0,924","0,858","0,946","0,857","1,65%"
"28.01.2022","0,909","0,951","0,984","0,906","-0,76%"
"27.01.2022","0,916","0,999","1,012","0,911","-3,78%"
"26.01.2022","0,952","0,910","0,963","0,907","4,04%"
"25.01.2022","0,915","0,905","0,928","0,893","0,44%"
"24.01.2022","0,911","0,911","0,919","0,867","-0,60%"
"22.01.2022","0,916","0,916","0,916","0,916","-0,38%"
"21.01.2022","0,920","0,924","0,933","0,904","-1,60%"
"20.01.2022","0,935","0,974","0,974","0,926","-4,10%"
"19.01.2022","0,975","0,998","1,006","0,952","2,31%"
"18.01.2022","0,953","0,946","0,969","0,932","2,14%"
"17.01.2022","0,933","0,921","0,937","0,909","3,21%"
"14.01.2022","0,904","0,861","0,912","0,859","4,51%"
"13.01.2022","0,865","0,914","0,929","0,856","-3,35%"
"12.01.2022","0,895","0,936","0,955","0,880","-5,09%"
"11.01.2022","0,943","0,938","0,957","0,908","24,24%"
"10.01.2022","0,759","0,797","0,804","0,737","-3,92%"
"07.01.2022","0,790","0,773","0,791","0,756","5,05%"
"06.01.2022","0,752","0,752","0,789","0,752","4,16%"
"05.01.2022","0,722","0,710","0,731","0,699","3,74%"
"04.01.2022","0,696","0,680","0,699","0,671","2,65%"
"03.01.2022","0,678","0,669","0,691","0,634","1,04%"
"31.12.2021","0,671","0,674","0,674","0,669","1,36%"
"30.12.2021","0,662","0,641","0,668","0,608","2,32%"
"29.12.2021","0,647","0,606","0,651","0,606","8,74%"
"28.12.2021","0,595","0,623","0,649","0,595","-3,25%"
"27.12.2021","0,615","0,607","0,653","0,606","5,13%"
"24.12.2021","0,585","0,606","0,612","0,585","0,00%"
"23.12.2021","0,585","0,550","0,616","0,549","11,43%"
"22.12.2021","0,525","0,485","0,538","0,484","7,36%"
"21.12.2021","0,489","0,440","0,493","0,437","12,41%"
"20.12.2021","0,435","0,406","0,447","0,396","4,57%"
"17.12.2021","0,416","0,458","0,466","0,410","-12,05%"
"16.12.2021","0,473","0,416","0,519","0,404","10,77%"
"15.12.2021","0,427","0,435","0,439","0,419","-1,84%"
"14.12.2021","0,435","0,410","0,444","0,392","4,32%"
"13.12.2021","0,417","0,467","0,472","0,412","-8,55%"
"10.12.2021","0,456","0,512","0,517","0,454","-10,59%"
