"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","2,522","2,505","2,533","2,469","0,60%"
"24.03.2022","2,507","2,471","2,523","2,458","1,46%"
"23.03.2022","2,471","2,499","2,502","2,463","-1,44%"
"22.03.2022","2,507","2,553","2,561","2,498","0,20%"
"21.03.2022","2,502","2,448","2,519","2,444","3,30%"
"18.03.2022","2,422","2,445","2,460","2,416","-0,90%"
"17.03.2022","2,444","2,443","2,457","2,375","-0,04%"
"16.03.2022","2,445","2,494","2,509","2,431","-0,53%"
"15.03.2022","2,458","2,476","2,494","2,437","-0,97%"
"14.03.2022","2,482","2,424","2,498","2,419","3,46%"
"11.03.2022","2,399","2,502","2,504","2,391","-3,54%"
"10.03.2022","2,487","2,351","2,543","2,292","6,56%"
"09.03.2022","2,334","2,284","2,347","2,248","3,83%"
"08.03.2022","2,248","2,246","2,291","2,208","0,00%"
"07.03.2022","2,248","2,234","2,266","2,203","2,27%"
"04.03.2022","2,198","2,236","2,275","2,197","-2,66%"
"03.03.2022","2,258","2,220","2,307","2,220","2,13%"
"02.03.2022","2,211","2,160","2,248","2,141","4,99%"
"01.03.2022","2,106","2,331","2,332","2,091","-11,33%"
"28.02.2022","2,375","2,397","2,416","2,372","-1,78%"
"25.02.2022","2,418","2,426","2,433","2,373","1,85%"
"24.02.2022","2,374","2,445","2,458","2,341","-4,00%"
"23.02.2022","2,473","2,533","2,536","2,458","-1,59%"
"22.02.2022","2,513","2,499","2,536","2,478","-0,36%"
"21.02.2022","2,522","2,468","2,528","2,462","2,35%"
"18.02.2022","2,464","2,486","2,486","2,430","0,20%"
"17.02.2022","2,459","2,499","2,514","2,451","-1,72%"
"16.02.2022","2,502","2,575","2,586","2,483","-1,96%"
"15.02.2022","2,552","2,515","2,558","2,513","1,35%"
"14.02.2022","2,518","2,476","2,533","2,458","0,36%"
"11.02.2022","2,509","2,480","2,521","2,454","1,13%"
"10.02.2022","2,481","2,385","2,496","2,385","4,64%"
"09.02.2022","2,371","2,380","2,425","2,363","-2,35%"
"08.02.2022","2,428","2,410","2,440","2,333","2,58%"
"07.02.2022","2,367","2,332","2,434","2,329","1,94%"
"04.02.2022","2,322","2,306","2,329","2,219","3,25%"
"03.02.2022","2,249","2,139","2,259","2,111","6,64%"
"02.02.2022","2,109","2,118","2,145","2,090","-0,85%"
"01.02.2022","2,127","2,097","2,131","2,062","1,67%"
"31.01.2022","2,092","2,036","2,120","2,035","0,24%"
"28.01.2022","2,087","2,142","2,161","2,086","-0,90%"
"27.01.2022","2,106","2,201","2,208","2,105","-2,77%"
"26.01.2022","2,166","2,107","2,180","2,104","2,56%"
"25.01.2022","2,112","2,090","2,115","2,090","0,76%"
"24.01.2022","2,096","2,077","2,108","2,040","0,96%"
"22.01.2022","2,076","2,076","2,076","2,076","-0,57%"
"21.01.2022","2,088","2,081","2,093","2,069","0,05%"
"20.01.2022","2,087","2,140","2,140","2,080","-2,39%"
"19.01.2022","2,138","2,162","2,172","2,116","0,85%"
"18.01.2022","2,120","2,115","2,138","2,098","1,00%"
"17.01.2022","2,099","2,101","2,104","2,080","1,11%"
"14.01.2022","2,076","2,034","2,091","2,033","1,86%"
"13.01.2022","2,038","2,111","2,117","2,034","-2,49%"
"12.01.2022","2,090","2,143","2,159","2,080","-2,61%"
"11.01.2022","2,146","2,152","2,161","2,108","0,85%"
"10.01.2022","2,128","2,175","2,181","2,097","-1,80%"
"07.01.2022","2,167","2,153","2,172","2,142","1,74%"
"06.01.2022","2,130","2,147","2,187","2,128","0,85%"
"05.01.2022","2,112","2,078","2,120","2,067","2,18%"
"04.01.2022","2,067","2,030","2,072","2,029","2,02%"
"03.01.2022","2,026","2,006","2,034","1,979","0,55%"
"31.12.2021","2,015","2,015","2,015","2,015","0,70%"
"30.12.2021","2,001","1,979","2,006","1,948","0,60%"
"29.12.2021","1,989","1,949","1,994","1,949","2,16%"
"28.12.2021","1,947","1,972","1,991","1,936","-1,07%"
"27.12.2021","1,968","1,949","1,986","1,948","1,13%"
"24.12.2021","1,946","1,946","1,946","1,946","0,67%"
"23.12.2021","1,933","1,904","1,968","1,902","2,49%"
"22.12.2021","1,886","1,852","1,897","1,851","1,78%"
"21.12.2021","1,853","1,783","1,857","1,781","4,16%"
"20.12.2021","1,779","1,739","1,787","1,732","1,66%"
"17.12.2021","1,750","1,786","1,802","1,742","-3,05%"
"16.12.2021","1,805","1,723","1,828","1,718","3,68%"
"15.12.2021","1,741","1,765","1,766","1,732","-1,14%"
"14.12.2021","1,761","1,744","1,770","1,732","0,51%"
"13.12.2021","1,752","1,794","1,798","1,750","-1,90%"
"10.12.2021","1,786","1,829","1,835","1,783","-2,67%"
"09.12.2021","1,835","1,821","1,841","1,808","-0,81%"
"08.12.2021","1,850","1,768","1,850","1,757","5,11%"
"07.12.2021","1,760","1,786","1,793","1,741","0,98%"
"06.12.2021","1,743","1,763","1,781","1,740","-2,02%"
"03.12.2021","1,779","1,788","1,818","1,746","-0,34%"
"02.12.2021","1,785","1,821","1,826","1,775","-2,14%"
"01.12.2021","1,824","1,798","1,845","1,798","2,18%"
"30.11.2021","1,785","1,826","1,842","1,772","-2,46%"
"29.11.2021","1,830","1,824","1,865","1,820","0,80%"
"27.11.2021","1,816","1,816","1,816","1,816","-0,41%"
"26.11.2021","1,823","1,842","1,850","1,811","-4,15%"
"25.11.2021","1,902","1,907","1,917","1,890","-1,30%"
"24.11.2021","1,927","1,892","1,967","1,883","1,85%"
"23.11.2021","1,892","1,833","1,912","1,833","4,47%"
"22.11.2021","1,811","1,746","1,818","1,731","4,38%"
"20.11.2021","1,735","1,735","1,735","1,735","-0,46%"
"19.11.2021","1,743","1,788","1,798","1,739","-2,57%"
"18.11.2021","1,789","1,813","1,833","1,779","-3,19%"
"17.11.2021","1,848","1,844","1,870","1,828","0,54%"
"16.11.2021","1,838","1,838","1,859","1,828","0,27%"
"15.11.2021","1,833","1,760","1,841","1,750","3,21%"
"12.11.2021","1,776","1,782","1,827","1,773","0,00%"
"11.11.2021","1,776","1,782","1,788","1,759","1,02%"
"10.11.2021","1,758","1,691","1,768","1,675","4,77%"
"09.11.2021","1,678","1,737","1,737","1,674","-4,33%"
"08.11.2021","1,754","1,743","1,768","1,732","0,92%"
"05.11.2021","1,738","1,820","1,823","1,736","-4,14%"
"04.11.2021","1,813","1,823","1,861","1,784","-1,52%"
"03.11.2021","1,841","1,859","1,862","1,806","-1,66%"
"02.11.2021","1,872","1,901","1,901","1,855","-3,85%"
"01.11.2021","1,947","1,912","1,977","1,882","4,56%"
"30.10.2021","1,862","1,862","1,862","1,862","-1,32%"
"29.10.2021","1,887","1,894","1,935","1,854","4,49%"
"28.10.2021","1,806","1,792","1,867","1,766","2,79%"
"27.10.2021","1,757","1,844","1,853","1,756","-4,98%"
"26.10.2021","1,849","1,821","1,856","1,802","1,48%"
"25.10.2021","1,822","1,797","1,845","1,797","-0,05%"
"23.10.2021","1,823","1,823","1,823","1,823","-0,55%"
"22.10.2021","1,833","1,871","1,871","1,831","-0,97%"
"21.10.2021","1,851","1,856","1,862","1,835","0,33%"
"20.10.2021","1,845","1,864","1,866","1,819","0,05%"
"19.10.2021","1,844","1,777","1,864","1,776","2,84%"
"18.10.2021","1,793","1,826","1,855","1,788","-0,33%"
"15.10.2021","1,799","1,781","1,820","1,781","1,93%"
"14.10.2021","1,765","1,842","1,851","1,756","-3,34%"
"13.10.2021","1,826","1,860","1,874","1,810","-2,41%"
"12.10.2021","1,871","1,893","1,896","1,851","-0,64%"
"11.10.2021","1,883","1,870","1,894","1,857","1,73%"
"08.10.2021","1,851","1,849","1,873","1,817","1,54%"
"07.10.2021","1,823","1,832","1,834","1,800","-1,67%"
"06.10.2021","1,854","1,880","1,895","1,837","1,04%"
"05.10.2021","1,835","1,798","1,844","1,775","1,83%"
"04.10.2021","1,802","1,789","1,826","1,788","1,07%"
"01.10.2021","1,783","1,804","1,820","1,757","-2,30%"
"30.09.2021","1,825","1,792","1,830","1,768","2,70%"
"29.09.2021","1,777","1,791","1,792","1,759","-1,66%"
"28.09.2021","1,807","1,788","1,827","1,784","2,96%"
"27.09.2021","1,755","1,741","1,792","1,737","0,98%"
"25.09.2021","1,738","1,738","1,738","1,738","-0,57%"
"24.09.2021","1,748","1,730","1,760","1,730","2,82%"
"23.09.2021","1,700","1,677","1,709","1,648","2,72%"
"22.09.2021","1,655","1,697","1,699","1,651","-1,72%"
"21.09.2021","1,684","1,709","1,718","1,678","-2,09%"
"20.09.2021","1,720","1,735","1,740","1,697","-0,12%"
"18.09.2021","1,722","1,722","1,722","1,722","0,00%"
"17.09.2021","1,722","1,718","1,744","1,715","0,94%"
"16.09.2021","1,706","1,715","1,725","1,699","-0,64%"
"15.09.2021","1,717","1,670","1,718","1,668","3,37%"
"14.09.2021","1,661","1,689","1,714","1,658","-1,89%"
"13.09.2021","1,693","1,710","1,713","1,688","-0,59%"
"12.09.2021","1,703","1,702","1,703","1,702","0,00%"
"11.09.2021","1,703","1,699","1,703","1,699","-0,23%"
"10.09.2021","1,707","1,678","1,711","1,678","2,40%"
"09.09.2021","1,667","1,758","1,760","1,664","-5,01%"
"08.09.2021","1,755","1,770","1,783","1,750","-1,63%"
"07.09.2021","1,784","1,730","1,796","1,730","4,08%"
"06.09.2021","1,714","1,714","1,740","1,712","-0,64%"
"03.09.2021","1,725","1,695","1,738","1,691","2,13%"
"02.09.2021","1,689","1,703","1,704","1,678","-1,17%"
"01.09.2021","1,709","1,722","1,739","1,708","-0,75%"
