"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","1,080","1,062","1,100","1,026","1,50%"
"24.03.2022","1,064","1,002","1,072","0,988","5,45%"
"23.03.2022","1,009","1,016","1,024","0,977","-2,89%"
"22.03.2022","1,039","1,022","1,066","1,017","7,22%"
"21.03.2022","0,969","0,950","0,987","0,941","6,25%"
"18.03.2022","0,912","0,936","0,952","0,899","-2,77%"
"17.03.2022","0,938","0,928","0,959","0,903","1,19%"
"16.03.2022","0,927","0,958","0,975","0,908","-0,43%"
"15.03.2022","0,931","0,991","0,998","0,911","-7,55%"
"14.03.2022","1,007","0,955","1,010","0,951","8,40%"
"11.03.2022","0,929","0,948","0,976","0,916","-2,52%"
"10.03.2022","0,953","0,721","0,965","0,660","35,56%"
"09.03.2022","0,703","0,659","0,729","0,616","5,87%"
"08.03.2022","0,664","0,643","0,670","0,596","0,00%"
"07.03.2022","0,664","0,633","0,670","0,610","13,70%"
"04.03.2022","0,584","0,624","0,646","0,583","-10,15%"
"03.03.2022","0,650","0,592","0,711","0,592","7,79%"
"02.03.2022","0,603","0,528","0,641","0,519","26,15%"
"01.03.2022","0,478","0,775","0,775","0,453","-42,34%"
"28.02.2022","0,829","0,903","0,929","0,816","-10,67%"
"25.02.2022","0,928","0,941","0,942","0,867","3,92%"
"24.02.2022","0,893","1,003","1,017","0,858","-13,13%"
"23.02.2022","1,028","1,018","1,036","0,997","3,63%"
"22.02.2022","0,992","0,939","1,025","0,939","2,37%"
"21.02.2022","0,969","0,946","0,976","0,928","41,05%"
"18.02.2022","0,687","0,727","0,727","0,669","-3,10%"
"17.02.2022","0,709","0,777","0,796","0,698","-8,63%"
"16.02.2022","0,776","0,869","0,873","0,759","-7,62%"
"15.02.2022","0,840","0,856","0,878","0,835","-2,44%"
"14.02.2022","0,861","0,841","0,871","0,823","-1,26%"
"11.02.2022","0,872","0,840","0,876","0,801","5,44%"
"10.02.2022","0,827","0,749","0,827","0,720","14,38%"
"09.02.2022","0,723","0,755","0,768","0,718","-10,63%"
"08.02.2022","0,809","0,853","0,853","0,720","2,66%"
"07.02.2022","0,788","0,794","0,927","0,785","4,37%"
"04.02.2022","0,755","0,708","0,783","0,634","30,17%"
"03.02.2022","0,580","0,384","0,603","0,372","61,11%"
"02.02.2022","0,360","0,332","0,389","0,313","6,82%"
"01.02.2022","0,337","0,294","0,341","0,269","17,83%"
"31.01.2022","0,286","0,215","0,302","0,215","10,00%"
"28.01.2022","0,260","0,290","0,314","0,258","0,39%"
"27.01.2022","0,259","0,324","0,332","0,257","-8,48%"
"26.01.2022","0,283","0,255","0,292","0,252","11,86%"
"25.01.2022","0,253","0,255","0,264","0,241","-0,78%"
"24.01.2022","0,255","0,264","0,266","0,230","-3,04%"
"22.01.2022","0,263","0,263","0,263","0,263","-1,50%"
"21.01.2022","0,267","0,278","0,283","0,255","-5,65%"
"20.01.2022","0,283","0,312","0,313","0,275","-9,00%"
"19.01.2022","0,311","0,329","0,338","0,293","6,87%"
"18.01.2022","0,291","0,297","0,308","0,279","1,39%"
"17.01.2022","0,287","0,282","0,287","0,270","7,89%"
"14.01.2022","0,266","0,242","0,277","0,241","10,83%"
"13.01.2022","0,240","0,275","0,283","0,237","-6,25%"
"12.01.2022","0,256","0,287","0,299","0,245","-12,03%"
"11.01.2022","0,291","0,293","0,300","0,271","6,99%"
"10.01.2022","0,272","0,307","0,314","0,262","-9,63%"
"07.01.2022","0,301","0,291","0,302","0,271","9,06%"
"06.01.2022","0,276","0,278","0,302","0,266","10,84%"
"05.01.2022","0,249","0,251","0,255","0,235","3,75%"
"04.01.2022","0,240","0,238","0,251","0,224","1,69%"
"03.01.2022","0,236","0,241","0,258","0,206","-2,07%"
"31.12.2021","0,241","0,243","0,243","0,235","3,43%"
"30.12.2021","0,233","0,209","0,239","0,196","6,88%"
"29.12.2021","0,218","0,191","0,222","0,187","17,84%"
"28.12.2021","0,185","0,198","0,243","0,184","-4,15%"
"27.12.2021","0,193","0,176","0,214","0,176","26,97%"
"24.12.2021","0,152","0,165","0,177","0,152","-1,94%"
"23.12.2021","0,155","0,116","0,173","0,116","70,33%"
"22.12.2021","0,091","0,060","0,101","0,060","54,24%"
"21.12.2021","0,059","0,018","0,061","0,015","321,43%"
"20.12.2021","0,014","-0,003","0,025","-0,020","600,00%"
"17.12.2021","0,002","0,040","0,045","-0,003","-96,23%"
"16.12.2021","0,053","0,012","0,097","0,005","178,95%"
"15.12.2021","0,019","0,016","0,028","0,010","58,33%"
"14.12.2021","0,012","-0,022","0,032","-0,041","-154,55%"
"13.12.2021","-0,022","0,020","0,021","-0,024","-344,44%"
"10.12.2021","0,009","0,065","0,066","0,007","-84,75%"
"09.12.2021","0,059","0,076","0,086","0,051","-40,40%"
"08.12.2021","0,099","0,022","0,101","0,010","518,75%"
"07.12.2021","0,016","0,022","0,031","0,003","-206,67%"
"06.12.2021","-0,015","-0,001","0,023","-0,017","-155,56%"
"03.12.2021","0,027","0,042","0,067","0,014","-40,00%"
"02.12.2021","0,045","0,095","0,099","0,025","-53,61%"
"01.12.2021","0,097","0,038","0,103","0,038","304,17%"
"30.11.2021","0,024","0,014","0,035","-0,009","71,43%"
"29.11.2021","0,014","0,010","0,040","0,005","57,30%"
"27.11.2021","0,009","0,009","0,009","0,009","78,00%"
"26.11.2021","0,005","0,033","0,040","-0,002","-80,77%"
"25.11.2021","0,026","0,004","0,038","-0,006","30,00%"
"24.11.2021","0,020","-0,002","0,043","-0,004","400,00%"
"23.11.2021","0,004","-0,054","0,018","-0,056","-106,15%"
"22.11.2021","-0,065","-0,118","-0,061","-0,133","-45,61%"
"20.11.2021","-0,119","-0,119","-0,119","-0,119","5,75%"
"19.11.2021","-0,113","-0,052","-0,048","-0,120","73,85%"
"18.11.2021","-0,065","-0,040","-0,033","-0,076","140,74%"
"17.11.2021","-0,027","-0,025","-0,011","-0,038","-3,57%"
"16.11.2021","-0,028","-0,002","0,017","-0,031","86,67%"
"15.11.2021","-0,015","-0,057","0,002","-0,062","-40,00%"
"12.11.2021","-0,025","-0,021","0,028","-0,034","0,00%"
"11.11.2021","-0,025","-0,032","-0,017","-0,050","-58,33%"
"10.11.2021","-0,060","-0,123","-0,050","-0,133","-53,13%"
"09.11.2021","-0,128","-0,104","-0,102","-0,133","21,90%"
"08.11.2021","-0,105","-0,105","-0,094","-0,119","-5,41%"
"05.11.2021","-0,111","-0,057","-0,051","-0,113","79,03%"
"04.11.2021","-0,062","0,032","0,035","-0,069","-224,00%"
"03.11.2021","0,050","0,056","0,061","0,028","-31,51%"
"02.11.2021","0,073","0,185","0,186","0,064","-68,53%"
"01.11.2021","0,232","0,234","0,286","0,203","10,48%"
"30.10.2021","0,210","0,210","0,210","0,210","-7,49%"
"29.10.2021","0,227","0,199","0,262","0,166","118,27%"
"28.10.2021","0,104","0,060","0,146","0,060","940,00%"
"27.10.2021","0,010","0,021","0,038","-0,012","-50,00%"
"26.10.2021","0,020","0,006","0,034","0,000","81,82%"
"25.10.2021","0,011","0,024","0,060","0,007","-71,79%"
"23.10.2021","0,039","0,039","0,039","0,039","-20,41%"
"22.10.2021","0,049","0,038","0,060","0,037","88,46%"
"21.10.2021","0,026","0,006","0,028","-0,005","-572,73%"
"20.10.2021","-0,005","0,021","0,030","-0,007","-134,37%"
"19.10.2021","0,016","-0,027","0,031","-0,028","-300,00%"
"18.10.2021","-0,008","-0,032","0,015","-0,035","-86,21%"
"15.10.2021","-0,058","-0,063","-0,021","-0,063","-15,94%"
"14.10.2021","-0,069","-0,025","-0,021","-0,072","91,67%"
"13.10.2021","-0,036","-0,039","-0,009","-0,048","-14,29%"
"12.10.2021","-0,042","-0,043","-0,015","-0,061","-8,70%"
"11.10.2021","-0,046","-0,059","-0,018","-0,064","-34,29%"
"08.10.2021","-0,070","-0,068","-0,055","-0,097","-18,60%"
