"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","1,433","1,409","1,447","1,371","1,63%"
"24.03.2022","1,410","1,350","1,420","1,335","4,21%"
"23.03.2022","1,353","1,370","1,375","1,326","-2,45%"
"22.03.2022","1,387","1,374","1,414","1,369","5,00%"
"21.03.2022","1,321","1,283","1,340","1,282","5,51%"
"18.03.2022","1,252","1,278","1,294","1,242","-2,19%"
"17.03.2022","1,280","1,267","1,297","1,232","0,63%"
"16.03.2022","1,272","1,304","1,324","1,249","0,08%"
"15.03.2022","1,271","1,323","1,331","1,251","-5,01%"
"14.03.2022","1,338","1,277","1,343","1,274","6,61%"
"11.03.2022","1,255","1,279","1,299","1,246","-2,56%"
"10.03.2022","1,288","1,046","1,300","0,983","24,93%"
"09.03.2022","1,031","0,980","1,059","0,940","4,99%"
"08.03.2022","0,982","0,967","0,998","0,919","0,00%"
"07.03.2022","0,982","0,952","0,993","0,933","9,23%"
"04.03.2022","0,899","0,949","0,969","0,899","-6,45%"
"03.03.2022","0,961","0,921","1,028","0,921","4,57%"
"02.03.2022","0,919","0,854","0,959","0,849","14,45%"
"01.03.2022","0,803","1,096","1,096","0,779","-30,42%"
"28.02.2022","1,154","1,226","1,254","1,143","-8,05%"
"25.02.2022","1,255","1,270","1,274","1,190","2,95%"
"24.02.2022","1,219","1,324","1,334","1,181","-9,64%"
"23.02.2022","1,349","1,345","1,361","1,321","1,66%"
"22.02.2022","1,327","1,283","1,361","1,280","1,22%"
"21.02.2022","1,311","1,274","1,313","1,262","4,30%"
"18.02.2022","1,257","1,286","1,286","1,236","-0,87%"
"17.02.2022","1,268","1,338","1,354","1,261","-5,16%"
"16.02.2022","1,337","1,429","1,431","1,311","-4,64%"
"15.02.2022","1,402","1,404","1,436","1,395","-0,71%"
"14.02.2022","1,412","1,370","1,421","1,350","0,86%"
"11.02.2022","1,400","1,362","1,405","1,327","2,79%"
"10.02.2022","1,362","1,246","1,364","1,239","10,91%"
"09.02.2022","1,228","1,249","1,270","1,220","-6,12%"
"08.02.2022","1,308","1,316","1,330","1,210","3,48%"
"07.02.2022","1,264","1,245","1,380","1,243","4,03%"
"04.02.2022","1,215","1,177","1,232","1,104","14,08%"
"03.02.2022","1,065","0,867","1,085","0,850","26,94%"
"02.02.2022","0,839","0,812","0,872","0,788","1,82%"
"01.02.2022","0,824","0,779","0,831","0,748","7,01%"
"31.01.2022","0,770","0,699","0,785","0,696","3,49%"
"28.01.2022","0,744","0,781","0,813","0,741","-0,67%"
"27.01.2022","0,749","0,828","0,841","0,745","-3,97%"
"26.01.2022","0,780","0,745","0,792","0,740","4,14%"
"25.01.2022","0,749","0,740","0,759","0,728","0,81%"
"24.01.2022","0,743","0,744","0,749","0,703","-0,60%"
"22.01.2022","0,748","0,748","0,748","0,748","-0,73%"
"21.01.2022","0,753","0,760","0,767","0,738","-2,08%"
"20.01.2022","0,769","0,807","0,807","0,760","-4,71%"
"19.01.2022","0,807","0,837","0,846","0,786","2,28%"
"18.01.2022","0,789","0,785","0,805","0,770","1,94%"
"17.01.2022","0,774","0,763","0,779","0,752","3,48%"
"14.01.2022","0,748","0,706","0,758","0,704","5,50%"
"13.01.2022","0,709","0,757","0,771","0,705","-3,67%"
"12.01.2022","0,736","0,777","0,794","0,722","-5,76%"
"11.01.2022","0,781","0,783","0,795","0,755","19,42%"
"10.01.2022","0,654","0,691","0,697","0,634","-4,25%"
"07.01.2022","0,683","0,665","0,683","0,649","5,56%"
"06.01.2022","0,647","0,652","0,685","0,645","4,19%"
"05.01.2022","0,621","0,611","0,631","0,603","2,64%"
"04.01.2022","0,605","0,592","0,609","0,582","2,37%"
"03.01.2022","0,591","0,584","0,604","0,552","1,37%"
"31.12.2021","0,583","0,586","0,586","0,582","1,04%"
"30.12.2021","0,577","0,551","0,582","0,526","2,85%"
"29.12.2021","0,561","0,522","0,567","0,522","9,14%"
"28.12.2021","0,514","0,536","0,565","0,513","-3,02%"
"27.12.2021","0,530","0,520","0,564","0,520","4,95%"
"24.12.2021","0,505","0,518","0,527","0,504","0,60%"
"23.12.2021","0,502","0,463","0,529","0,462","14,61%"
"22.12.2021","0,438","0,400","0,451","0,399","9,23%"
"21.12.2021","0,401","0,337","0,406","0,337","14,90%"
"20.12.2021","0,349","0,322","0,363","0,311","4,80%"
"17.12.2021","0,333","0,373","0,380","0,327","-13,95%"
"16.12.2021","0,387","0,333","0,431","0,322","13,16%"
"15.12.2021","0,342","0,355","0,356","0,335","-1,72%"
"14.12.2021","0,348","0,317","0,356","0,301","7,41%"
"13.12.2021","0,324","0,374","0,377","0,320","-10,74%"
"10.12.2021","0,363","0,418","0,421","0,361","-12,11%"
"09.12.2021","0,413","0,420","0,432","0,401","-7,61%"
"08.12.2021","0,447","0,359","0,448","0,345","26,63%"
"07.12.2021","0,353","0,364","0,371","0,335","10,66%"
"06.12.2021","0,319","0,351","0,358","0,313","-11,88%"
"03.12.2021","0,362","0,387","0,413","0,347","-6,22%"
"02.12.2021","0,386","0,443","0,446","0,368","-12,87%"
"01.12.2021","0,443","0,386","0,462","0,386","19,09%"
"30.11.2021","0,372","0,364","0,385","0,333","1,64%"
"29.11.2021","0,366","0,360","0,395","0,356","3,10%"
"27.11.2021","0,355","0,355","0,355","0,355","-0,28%"
"26.11.2021","0,356","0,384","0,393","0,347","-17,78%"
"25.11.2021","0,433","0,417","0,446","0,402","0,00%"
"24.11.2021","0,433","0,407","0,467","0,402","5,35%"
"23.11.2021","0,411","0,344","0,427","0,344","26,85%"
"22.11.2021","0,324","0,258","0,330","0,251","21,35%"
"20.11.2021","0,267","0,267","0,267","0,267","0,00%"
"19.11.2021","0,267","0,329","0,336","0,262","-17,34%"
"18.11.2021","0,323","0,343","0,359","0,311","-11,99%"
"17.11.2021","0,367","0,365","0,383","0,347","1,38%"
"16.11.2021","0,362","0,386","0,405","0,356","-3,47%"
"15.11.2021","0,375","0,322","0,395","0,314","5,34%"
"12.11.2021","0,356","0,364","0,412","0,353","0,00%"
"11.11.2021","0,356","0,355","0,371","0,340","9,20%"
"10.11.2021","0,326","0,270","0,335","0,253","25,87%"
"09.11.2021","0,259","0,286","0,292","0,254","-10,69%"
"08.11.2021","0,290","0,294","0,305","0,276","1,75%"
"05.11.2021","0,285","0,355","0,363","0,284","-18,57%"
"04.11.2021","0,350","0,451","0,455","0,343","-25,85%"
"03.11.2021","0,472","0,482","0,484","0,443","-5,22%"
"02.11.2021","0,498","0,593","0,595","0,484","-22,79%"
"01.11.2021","0,645","0,643","0,706","0,600","6,52%"
"30.10.2021","0,605","0,605","0,605","0,605","-2,81%"
"29.10.2021","0,623","0,576","0,661","0,543","30,06%"
"28.10.2021","0,479","0,426","0,530","0,424","27,06%"
"27.10.2021","0,377","0,404","0,421","0,357","-6,91%"
"26.10.2021","0,405","0,382","0,407","0,373","4,11%"
"25.10.2021","0,389","0,400","0,419","0,385","-7,38%"
"23.10.2021","0,420","0,420","0,420","0,420","-1,64%"
"22.10.2021","0,427","0,421","0,447","0,415","5,17%"
"21.10.2021","0,406","0,390","0,412","0,375","6,56%"
"20.10.2021","0,381","0,416","0,419","0,377","-4,51%"
"19.10.2021","0,399","0,344","0,412","0,342","9,92%"
"18.10.2021","0,363","0,351","0,398","0,347","13,79%"
"15.10.2021","0,319","0,309","0,334","0,309","6,69%"
"14.10.2021","0,299","0,360","0,370","0,295","-13,83%"
"13.10.2021","0,347","0,343","0,357","0,331","-0,29%"
"12.10.2021","0,348","0,350","0,352","0,324","1,16%"
"11.10.2021","0,344","0,329","0,352","0,323","8,86%"
"08.10.2021","0,316","0,321","0,337","0,286","6,40%"
"07.10.2021","0,297","0,308","0,313","0,284","-9,45%"
"06.10.2021","0,328","0,341","0,359","0,315","7,19%"
"05.10.2021","0,306","0,283","0,325","0,268","6,25%"
