"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"24.03.2022","2,052","1,995","2,071","1,977","2,75%"
"23.03.2022","1,997","2,022","2,024","1,973","-1,96%"
"22.03.2022","2,037","2,034","2,070","2,022","3,19%"
"21.03.2022","1,974","1,924","1,995","1,918","4,78%"
"18.03.2022","1,884","1,907","1,923","1,868","-1,36%"
"17.03.2022","1,910","1,894","1,929","1,854","0,42%"
"16.03.2022","1,902","1,942","1,961","1,876","-0,31%"
"15.03.2022","1,908","1,944","1,960","1,882","-2,95%"
"14.03.2022","1,966","1,887","1,972","1,884","5,30%"
"11.03.2022","1,867","1,911","1,921","1,860","-2,15%"
"10.03.2022","1,908","1,908","1,908","1,908","14,11%"
"09.03.2022","1,672","1,672","1,672","1,672","4,43%"
"08.03.2022","1,601","1,601","1,601","1,601","0,25%"
"07.03.2022","1,597","1,597","1,597","1,597","4,17%"
"04.03.2022","1,533","1,533","1,533","1,533","-3,40%"
"03.03.2022","1,587","1,587","1,587","1,587","2,19%"
"02.03.2022","1,553","1,553","1,553","1,553","11,41%"
"01.03.2022","1,394","1,394","1,394","1,394","-19,93%"
"28.02.2022","1,741","1,741","1,741","1,741","-5,48%"
"25.02.2022","1,842","1,842","1,842","1,842","1,94%"
"24.02.2022","1,807","1,807","1,807","1,807","-6,47%"
"23.02.2022","1,932","1,932","1,932","1,932","-0,10%"
"22.02.2022","1,934","1,934","1,934","1,934","0,94%"
"21.02.2022","1,916","1,916","1,916","1,916","3,85%"
"18.02.2022","1,845","1,845","1,845","1,845","0,27%"
"17.02.2022","1,840","1,840","1,840","1,840","-4,02%"
"16.02.2022","1,917","1,917","1,917","1,917","-2,79%"
"15.02.2022","1,972","1,972","1,972","1,972","-0,10%"
"14.02.2022","1,974","1,974","1,974","1,974","0,61%"
"11.02.2022","1,962","1,962","1,962","1,962","3,37%"
"10.02.2022","1,898","1,898","1,898","1,898","7,41%"
"09.02.2022","1,767","1,767","1,767","1,767","-4,64%"
"08.02.2022","1,853","1,853","1,853","1,853","2,21%"
"07.02.2022","1,813","1,813","1,813","1,813","3,30%"
"04.02.2022","1,755","1,755","1,755","1,755","4,90%"
"03.02.2022","1,673","1,673","1,673","1,673","17,24%"
"02.02.2022","1,427","1,427","1,427","1,427","0,56%"
"01.02.2022","1,419","1,419","1,419","1,419","3,50%"
"31.01.2022","1,371","1,371","1,371","1,371","1,33%"
"28.01.2022","1,353","1,353","1,353","1,353","-0,37%"
"27.01.2022","1,358","1,358","1,358","1,358","-3,48%"
"26.01.2022","1,407","1,407","1,407","1,407","3,46%"
"25.01.2022","1,360","1,360","1,360","1,360","0,37%"
"24.01.2022","1,355","1,355","1,355","1,355","0,00%"
