"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","-0,725","-0,700","-0,675","-0,725","4,32%"
"24.03.2022","-0,695","-0,697","-0,682","-0,736","-4,27%"
"23.03.2022","-0,726","-0,725","-0,689","-0,757","-1,22%"
"22.03.2022","-0,735","-0,704","-0,649","-0,738","3,67%"
"21.03.2022","-0,709","-0,720","-0,642","-0,720","-2,88%"
"18.03.2022","-0,730","-0,713","-0,673","-0,740","2,82%"
"17.03.2022","-0,710","-0,694","-0,694","-0,734","3,05%"
"16.03.2022","-0,689","-0,721","-0,638","-0,763","-2,68%"
"15.03.2022","-0,708","-0,713","-0,662","-0,722","18,39%"
"14.03.2022","-0,598","-0,660","-0,571","-0,680","-5,83%"
"11.03.2022","-0,635","-0,589","-0,561","-0,661","-2,76%"
"10.03.2022","-0,653","-0,620","-0,534","-0,683","5,15%"
"09.03.2022","-0,621","-0,621","-0,605","-0,688","0,16%"
"08.03.2022","-0,620","-0,620","-0,573","-0,644","0,00%"
"07.03.2022","-0,620","-0,619","-0,585","-0,638","-0,32%"
"04.03.2022","-0,622","-0,605","-0,595","-0,667","0,32%"
"03.03.2022","-0,620","-0,620","-0,605","-0,688","-1,90%"
"02.03.2022","-0,632","-0,636","-0,611","-0,660","-2,47%"
"01.03.2022","-0,648","-0,600","-0,590","-0,672","14,89%"
"28.02.2022","-0,564","-0,580","-0,538","-0,636","0,18%"
"25.02.2022","-0,563","-0,574","-0,563","-0,659","-1,75%"
"24.02.2022","-0,573","-0,574","-0,558","-0,606","0,70%"
"23.02.2022","-0,569","-0,569","-0,567","-0,601","0,71%"
"22.02.2022","-0,565","-0,596","-0,551","-0,596","0,00%"
"21.02.2022","-0,565","-0,570","-0,565","-0,627","0,53%"
"18.02.2022","-0,562","-0,554","-0,554","-0,617","-8,02%"
"17.02.2022","-0,611","-0,576","-0,563","-0,623","8,53%"
"16.02.2022","-0,563","-0,583","-0,536","-0,591","-8,01%"
"15.02.2022","-0,612","-0,573","-0,533","-0,612","8,70%"
"14.02.2022","-0,563","-0,570","-0,529","-0,582","-1,05%"
"11.02.2022","-0,569","-0,590","-0,544","-0,592","3,08%"
"10.02.2022","-0,552","-0,550","-0,487","-0,602","0,73%"
"09.02.2022","-0,548","-0,516","-0,494","-0,583","10,48%"
"08.02.2022","-0,496","-0,516","-0,496","-0,567","0,40%"
"07.02.2022","-0,494","-0,483","-0,469","-0,517","-2,76%"
"04.02.2022","-0,508","-0,489","-0,471","-0,511","0,00%"
"03.02.2022","-0,508","-0,516","-0,477","-0,537","-0,78%"
"02.02.2022","-0,512","-0,498","-0,476","-0,551","7,79%"
"01.02.2022","-0,475","-0,516","-0,475","-0,566","0,00%"
"31.01.2022","-0,475","-0,477","-0,475","-0,551","0,00%"
"28.01.2022","-0,475","-0,553","-0,475","-0,553","-2,66%"
"27.01.2022","-0,488","-0,551","-0,488","-0,554","-7,05%"
"26.01.2022","-0,525","-0,516","-0,492","-0,547","0,00%"
"25.01.2022","-0,525","-0,526","-0,525","-0,568","-3,31%"
"24.01.2022","-0,543","-0,516","-0,513","-0,564","3,63%"
"21.01.2022","-0,524","-0,554","-0,507","-0,571","-0,95%"
"20.01.2022","-0,529","-0,550","-0,465","-0,572","-2,94%"
"19.01.2022","-0,545","-0,598","-0,520","-0,639","-1,45%"
"18.01.2022","-0,553","-0,609","-0,525","-0,657","-5,15%"
"17.01.2022","-0,583","-0,626","-0,577","-0,640","-2,67%"
"14.01.2022","-0,599","-0,629","-0,596","-0,722","-1,32%"
"13.01.2022","-0,607","-0,605","-0,598","-0,638","0,83%"
"12.01.2022","-0,602","-0,638","-0,602","-0,665","-3,68%"
"11.01.2022","-0,625","-0,650","-0,608","-0,694","-4,43%"
"10.01.2022","-0,654","-0,668","-0,641","-0,691","-1,36%"
"07.01.2022","-0,663","-0,648","-0,632","-0,672","0,76%"
"06.01.2022","-0,658","-0,690","-0,650","-0,760","9,30%"
"05.01.2022","-0,602","-0,780","-0,567","-0,784","-18,65%"
"04.01.2022","-0,740","-0,715","-0,679","-0,777","0,00%"
"03.01.2022","-0,740","-0,750","-0,555","-0,797","-3.800,00%"
"31.12.2021","0,020","0,020","0,020","0,020","-102,57%"
"30.12.2021","-0,778","-0,879","-0,722","-0,945","-1,52%"
"29.12.2021","-0,790","-0,891","-0,790","-0,891","-10,43%"
"28.12.2021","-0,882","-0,868","-0,825","-0,889","1,73%"
"27.12.2021","-0,867","-0,834","-0,782","-0,900","5,86%"
"23.12.2021","-0,819","-0,896","-0,792","-0,900","-9,60%"
"22.12.2021","-0,906","-0,911","-0,858","-0,924","-0,66%"
"21.12.2021","-0,912","-0,922","-0,874","-0,954","-0,33%"
"20.12.2021","-0,915","-0,909","-0,881","-0,952","3,51%"
"17.12.2021","-0,884","-0,842","-0,842","-0,940","-0,23%"
"16.12.2021","-0,886","-0,849","-0,842","-0,970","-4,32%"
"15.12.2021","-0,926","-0,811","-0,811","-0,945","100,00%"
"14.12.2021","-0,463","-0,503","-0,463","-0,503","-4,14%"
"13.12.2021","-0,483","-0,510","-0,480","-0,522","-3,21%"
"10.12.2021","-0,499","-0,496","-0,483","-0,552","2,04%"
"09.12.2021","-0,489","-0,498","-0,489","-0,512","-1,81%"
"08.12.2021","-0,498","-0,500","-0,498","-0,529","-0,60%"
"07.12.2021","-0,501","-0,498","-0,496","-0,515","0,60%"
"06.12.2021","-0,498","-0,506","-0,498","-0,508","0,00%"
"03.12.2021","-0,498","-0,497","-0,495","-0,518","0,20%"
"02.12.2021","-0,497","-0,504","-0,496","-0,512","-12,19%"
"01.12.2021","-0,566","-0,577","-0,523","-0,577","0,00%"
"30.11.2021","-0,566","-0,535","-0,520","-0,572","3,66%"
"29.11.2021","-0,546","-0,518","-0,518","-0,574","-4,21%"
"26.11.2021","-0,570","-0,528","-0,505","-0,582","0,00%"
"25.11.2021","-0,570","-0,526","-0,526","-0,598","0,00%"
"24.11.2021","-0,570","-0,530","-0,520","-0,588","0,00%"
"23.11.2021","-0,570","-0,537","-0,528","-0,570","0,35%"
"22.11.2021","-0,568","-0,526","-0,526","-0,591","0,00%"
"19.11.2021","-0,568","-0,533","-0,524","-0,568","0,00%"
"18.11.2021","-0,568","-0,539","-0,531","-0,593","0,35%"
"17.11.2021","-0,566","-0,540","-0,533","-0,587","-0,53%"
"16.11.2021","-0,569","-0,531","-0,531","-0,582","0,18%"
"15.11.2021","-0,568","-0,530","-0,530","-0,590","-1,39%"
"12.11.2021","-0,576","-0,568","-0,528","-0,579","0,00%"
"11.11.2021","-0,576","-0,568","-0,527","-0,587","-1,03%"
"10.11.2021","-0,582","-0,535","-0,523","-0,582","5,43%"
"09.11.2021","-0,552","-0,528","-0,528","-0,579","-2,13%"
"08.11.2021","-0,564","-0,570","-0,553","-0,570","0,53%"
"05.11.2021","-0,561","-0,562","-0,556","-0,575","-0,71%"
"04.11.2021","-0,565","-0,569","-0,538","-0,581","-1,05%"
"03.11.2021","-0,571","-0,541","-0,541","-0,572","1,78%"
"02.11.2021","-0,561","-0,560","-0,555","-0,561","0,72%"
