"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","1,158","1,135","1,178","1,102","1,76%"
"24.03.2022","1,138","1,077","1,148","1,064","4,69%"
"23.03.2022","1,087","1,093","1,099","1,051","-2,34%"
"22.03.2022","1,113","1,100","1,141","1,093","6,30%"
"21.03.2022","1,047","1,017","1,063","1,013","6,29%"
"18.03.2022","0,985","1,010","1,024","0,975","-2,57%"
"17.03.2022","1,011","0,998","1,030","0,970","0,90%"
"16.03.2022","1,002","1,033","1,055","0,978","-0,10%"
"15.03.2022","1,003","1,066","1,074","0,986","-6,96%"
"14.03.2022","1,078","1,019","1,081","1,019","7,80%"
"11.03.2022","1,000","1,014","1,044","0,990","-2,53%"
"10.03.2022","1,026","0,785","1,032","0,728","33,77%"
"09.03.2022","0,767","0,722","0,796","0,682","5,50%"
"08.03.2022","0,727","0,708","0,739","0,662","0,00%"
"07.03.2022","0,727","0,710","0,735","0,680","12,36%"
"04.03.2022","0,647","0,688","0,710","0,646","-8,74%"
"03.03.2022","0,709","0,667","0,772","0,667","6,30%"
"02.03.2022","0,667","0,594","0,703","0,588","23,52%"
"01.03.2022","0,540","0,840","0,840","0,517","-39,53%"
"28.02.2022","0,893","0,967","0,994","0,885","-10,25%"
"25.02.2022","0,995","1,007","1,010","0,931","3,97%"
"24.02.2022","0,957","1,066","1,077","0,923","-12,52%"
"23.02.2022","1,094","1,084","1,102","1,062","3,11%"
"22.02.2022","1,061","1,009","1,090","1,005","2,12%"
"21.02.2022","1,039","1,008","1,043","0,995","13,06%"
"18.02.2022","0,919","0,961","0,961","0,904","-2,34%"
"17.02.2022","0,941","1,011","1,028","0,929","-6,83%"
"16.02.2022","1,010","1,103","1,104","0,989","-6,22%"
"15.02.2022","1,077","1,091","1,116","1,070","-1,64%"
"14.02.2022","1,095","1,067","1,104","1,046","-0,45%"
"11.02.2022","1,100","1,066","1,105","1,027","4,07%"
"10.02.2022","1,057","0,966","1,059","0,943","11,85%"
