"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"25.03.2022","0,786","0,762","0,802","0,729","2,34%"
"24.03.2022","0,768","0,704","0,775","0,690","8,47%"
"23.03.2022","0,708","0,709","0,724","0,672","-3,54%"
"22.03.2022","0,734","0,715","0,756","0,709","10,54%"
"21.03.2022","0,664","0,643","0,680","0,637","9,03%"
"18.03.2022","0,609","0,638","0,650","0,598","-4,69%"
"17.03.2022","0,639","0,629","0,659","0,609","1,75%"
"16.03.2022","0,628","0,651","0,669","0,608","0,16%"
"15.03.2022","0,627","0,685","0,693","0,609","-9,78%"
"14.03.2022","0,695","0,659","0,706","0,658","9,45%"
"11.03.2022","0,635","0,651","0,679","0,626","-4,22%"
"10.03.2022","0,663","0,441","0,678","0,386","56,74%"
"09.03.2022","0,423","0,375","0,448","0,332","9,30%"
"08.03.2022","0,387","0,365","0,387","0,313","0,00%"
"07.03.2022","0,387","0,364","0,394","0,336","26,47%"
"04.03.2022","0,306","0,342","0,369","0,304","-16,62%"
"03.03.2022","0,367","0,325","0,431","0,325","9,88%"
"02.03.2022","0,334","0,244","0,369","0,240","69,54%"
"01.03.2022","0,197","0,475","0,475","0,176","-62,48%"
"28.02.2022","0,525","0,599","0,626","0,518","-16,00%"
"25.02.2022","0,625","0,629","0,637","0,564","6,84%"
"24.02.2022","0,585","0,701","0,711","0,553","-19,31%"
"23.02.2022","0,725","0,714","0,732","0,693","5,99%"
"22.02.2022","0,684","0,632","0,716","0,631","3,32%"
"21.02.2022","0,662","0,640","0,668","0,624","29,93%"
"19.02.2022","0,510","0,510","0,510","0,510","-0,68%"
"18.02.2022","0,513","0,552","0,552","0,494","-4,11%"
"17.02.2022","0,535","0,600","0,616","0,525","-10,68%"
"16.02.2022","0,599","0,687","0,691","0,578","-8,55%"
"15.02.2022","0,655","0,675","0,692","0,647","-3,82%"
"14.02.2022","0,681","0,665","0,695","0,649","-2,01%"
"11.02.2022","0,695","0,668","0,707","0,628","5,78%"
"10.02.2022","0,657","0,591","0,659","0,553","19,02%"
"09.02.2022","0,552","0,591","0,602","0,551","-14,55%"
"08.02.2022","0,646","0,699","0,701","0,563","2,70%"
"07.02.2022","0,629","0,651","0,777","0,627","3,97%"
"04.02.2022","0,605","0,579","0,644","0,496","36,26%"
"03.02.2022","0,444","0,253","0,471","0,240","94,74%"
"02.02.2022","0,228","0,196","0,256","0,181","13,43%"
"01.02.2022","0,201","0,169","0,209","0,146","24,07%"
"31.01.2022","0,162","0,097","0,179","0,097","16,55%"
"28.01.2022","0,139","0,172","0,190","0,135","-3,47%"
